state,bill_number,title,description,dem_sponsors,rep_sponsors,session_start,session_end,last_action_date,last_action,completed
MN,SF4418,CentraCare Health System University of Minnesota Medical School Campus appropriation,CentraCare Health System University of Minnesota Medical School Campus appropriation,1,0,2023,2024,2024-02-29,Referred to Jobs and Economic Development,0
MN,SF4407,Digital fair repair list of exclusions equipment removal provision,Digital fair repair list of exclusions equipment removal provision,1,0,2023,2024,2024-02-29,Referred to Commerce and Consumer Protection,0
MO,HB1178,Changes the laws regarding consumer products so that certain manufacturers are required to provide repair information to certain individuals and businesses,Changes the laws regarding consumer products so that certain manufacturers are required to provide repair information to certain individuals and businesses,1,0,2017,2017,2017-05-12,"Referred: Select Committee on Local, State, Federal Relations and Miscellaneous Business(H)",0
MO,SB1079,Prohibits a person from bringing a claim for injuries caused by silica unless the person can present certain evidence,Prohibits a person from bringing a claim for injuries caused by silica unless the person can present certain evidence,0,1,2018,2018,2018-04-04,Hearing Conducted S Government Reform Committee,0
MO,HB2254,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers,0,1,2018,2018,2018-05-18,Referred: Economic Development(H),0
MO,HB1079,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers.,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers.,1,0,2019,2019,2019-05-17,Referred: General Laws(H),0
MO,HB2254,Establishes provisions relating to hair braiders,Establishes provisions relating to hair braiders,0,1,2016,2016,2016-04-12,Referred: Professional Registration and Licensing(H),0
MO,HB2369,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers.,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers.,0,1,2020,2020,2020-02-27,Referred: Agriculture Policy(H),0
MO,HB975,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers,0,1,2021,2021,2021-05-03,Referred: Rules - Administrative Oversight(H),0
MO,SB1086,Allows certain individuals and businesses to have access to information from manufacturers in order to repair certain products,Allows certain individuals and businesses to have access to information from manufacturers in order to repair certain products,0,1,2022,2022,2022-04-06,"Hearing Conducted S Commerce, Consumer Protection, Energy and the Environment Committee",0
MO,HB2402,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers,0,1,2022,2022,2022-03-29,HCS Voted Do Pass (H),0
MO,HB698,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers,0,1,2023,2023,2023-04-24,Public Hearing Completed (H),0
MO,HB217,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers,1,0,2023,2023,2023-05-12,Referred: Agriculture Policy(H),0
MO,HB1618,"Creates the"" Digital Fair Repair Act"" that allows authorized individuals or businesses access to information, parts, and tools to perform independent repairs on equipment","Creates the"" Digital Fair Repair Act"" that allows authorized individuals or businesses access to information, parts, and tools to perform independent repairs on equipment",0,1,2024,2024,2024-02-29,Referred: Special Committee on Innovation and Technology(H),0
MO,HB2041,Changes the laws regarding consumer products so that certain individuals and businesses have access to product repair information from certain manufacturers,Changes the laws regarding consumer products so that certain individuals and businesses have access to product repair information from certain manufacturers,1,0,2024,2024,2024-05-17,Referred: General Laws(H),0
MO,HB2475,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers,0,1,2024,2024,2024-03-26,Public Hearing Completed (H),0
MO,SB1472,Creates provisions relating to product repair requirements,Creates provisions relating to product repair requirements,1,0,2024,2024,2024-03-07,"Second Read and Referred S Agriculture, Food Production and Outdoor Resources Committee",0
MO,HB2800,Establishes a right to repair for certain products,Establishes a right to repair for certain products,0,1,2024,2024,2024-04-23,HCS Voted Do Pass (H),0
MO,HB582,Changes the laws regarding consumer products so that certain individuals and businesses have access to product repair information from certain manufacturers,Changes the laws regarding consumer products so that certain individuals and businesses have access to product repair information from certain manufacturers,1,0,2025,2025,2025-05-15,Referred: Emerging Issues(H),0
MO,SB420,Creates provisions relating to product repair requirements,Creates provisions relating to product repair requirements,1,0,2025,2025,2025-02-17,"Second Read and Referred S Agriculture, Food Production and Outdoor Resources Committee",0
MO,HB110,Establishes a right to repair for certain products,Establishes a right to repair for certain products,0,1,2025,2025,2025-01-22,Referred: Economic Development(H),0
MO,HB146,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers,Changes the laws regarding consumer products so that certain individuals and businesses have a right to repair information from certain manufacturers,0,1,2025,2025,2025-05-15,Referred: Emerging Issues(H),0
MS,SB2693,Failing schools and districts of transformation; revise certain provisions related thereto.,"An Act To Amend Section 37-17-6, Mississippi Code Of 1972, To Provide The Procedure By Which The State Board Of Education May Place A Failing School Or School District Into A District Of Transformation; To Establish Relevant Criteria For Schools Or School Districts To Be Placed Into Such Districts; To Delete Certain Provisions Related To Mississippi Recovery School Districts, School Boards Of Failing Schools And Elections Of Members Of Failing School Boards; To Provide That Districts That Are Placed Into District Transformation Shall Be Eligible To Return To Local Control When The District Has Attained A ""c"" Rating Or Higher For Three Consecutive Years; To Create New Section 37-17-6.1, Mississippi Code Of 1972, To Revise Provisions Related To The Mississippi Achievement School District Which Includes The Yazoo City Municipal School District And The Humphreys County School District; To Provide Certain Timelines On The Transition Of Such Districts Into Districts Of Transformation; To Provide That The Board Of Education Shall Have The Authority To Determine When Such District Is Ready To Be Reconstituted, Reorganized And Returned To Local Control; To Delete Certain Outdated Language; To Amend Section 37-17-13, Mississippi Code Of 1972, To Delete The Date Of Repeal On The Section; To Delete Certain Provisions Related To Failing Schools; To Conform To The Provisions Of The Act; To Repeal Section 37-17-17, Mississippi Code Of 1972, Which Provides For The Mississippi Achievement School District, On July 1, 2025; And For Related Purposes.",2,1,2024,2024,2024-04-25,Died On Calendar,1
MT,HB698,Allow certain trauma surgery workers to use emergency red lights,Allow certain trauma surgery workers to use emergency red lights,0,1,2019,2019,2019-04-25,(H) Died in Process,1
MT,HB390,Generally revise laws related to agricultural equipment repair,Generally revise laws related to agricultural equipment repair,1,0,2021,2021,2021-04-29,(H) Died in Process,1
MT,HB195,Generally revise consumer rights laws to repair powered wheelchairs,Generally revise consumer rights laws to repair powered wheelchairs,1,0,2023,2023,2023-03-10,(H) Missed Deadline for General Bill Transmittal,0
MT,HB390,Provide for Montana right to repair agricultural equipment act,Provide for Montana right to repair agricultural equipment act,1,0,2025,2025,2025-05-20,(H) Died in Process,1
MT,HB813,Provide for the agricultural emissions right to repair act,Provide for the agricultural emissions right to repair act,1,0,2025,2025,2025-05-20,(H) Died in Process,1
MT,HB828,Generally revise consumer rights laws to repair powered wheelchairs,Generally revise consumer rights laws to repair powered wheelchairs,1,0,2025,2025,2025-05-20,(H) Died in Process,1
NC,H663,Right to Repair Act,Right to Repair Act,6,0,2017,2018,2017-04-11,"Ref to the Com on Regulatory Reform, if favorable, Judiciary III",0
NC,H752,Medical Equipment Right to Repair Act,Medical Equipment Right to Repair Act,15,0,2023,2024,2023-04-19,"Ref To Com On Rules, Calendar, and Operations of the House",0
NC,H460,Medical Equipment Right to Repair Act,Medical Equipment Right to Repair Act,17,0,2025,2026,2025-03-20,"Ref To Com On Rules, Calendar, and Operations of the House",0
ND,HB1305,Product repair practices; and to provide a penalty.,"A BILL for an Act to create and enact a new chapter to title 51 of the North Dakota Century Code, relating to product repair practices; and to provide a penalty.",1,0,2019,2020,2019-02-06,"Second reading, failed to pass, yeas 10 nays 82",0
NE,LB1072,Adopt the Fair Repair Act and provide a penalty,Adopt the Fair Repair Act and provide a penalty,0,0,2015,2016,2016-04-20,Indefinitely postponed,0
NE,LB22,"Provide, change, and eliminate provisions relating to appropriations and reduce appropriations","Provide, change, and eliminate provisions relating to appropriations and reduce appropriations",0,0,2017,2018,2017-02-15,"Approved by Governor on February 15, 2017",1
NE,LB22,"Provide, change, and eliminate provisions relating to appropriations and reduce appropriations","Provide, change, and eliminate provisions relating to appropriations and reduce appropriations",0,0,2017,2018,2017-02-15,"Approved by Governor on February 15, 2017",1
NE,LB380,"Appropriate funds for the expenses of Nebraska State Government for the biennium ending June 30, 2023","Appropriate funds for the expenses of Nebraska State Government for the biennium ending June 30, 2023",0,0,2021,2022,2021-05-27,Provisions/portions of LB671 amended into LB380 by AM393,1
NE,LB380,"Appropriate funds for the expenses of Nebraska State Government for the biennium ending June 30, 2023","Appropriate funds for the expenses of Nebraska State Government for the biennium ending June 30, 2023",0,0,2021,2022,2021-05-27,Provisions/portions of LB671 amended into LB380 by AM393,1
NH,HB1733,Relative to digital electronic product repair.,Relative to digital electronic product repair.,2,0,2018,2018,2018-09-18,Executive Session: 10/02/2018 01:30 PM Legislative Office Building302,0
NH,HB1733,Relative to digital electronic product repair.,Relative to digital electronic product repair.,2,0,2018,2018,2018-09-18,Executive Session: 10/02/2018 01:30 PM Legislative Office Building302,0
NH,HB462,Relative to digital electronic product repair.,Relative to digital electronic product repair.,1,0,2019,2019,2019-11-13,Committee Report: Refer for Interim Study (Vote 17-2; Regular Calendar),0
NH,HB462,Relative to digital electronic product repair.,Relative to digital electronic product repair.,1,0,2020,2020,2020-08-19,Full Committee Work Session: 09/02/2020 02:00 pm Members of the public may attend using this link: : https://www.zoom.us/j/98387930737 - Executive Session to Follow,0
NH,HB2,"Relative to state fees, funds, revenues, and expenditures.","Relative to state fees, funds, revenues, and expenditures.",0,4,2021,2021,2021-06-28,Signed by Governor Sununu 06/25/2021; Chapter 91; Unless otherwise specified the remainder of this act shall take effect: 07/01/2021,1
NH,SB73,Relative to Help America Vote Act (HAVA) grants.,Relative to Help America Vote Act (HAVA) grants.,15,0,2023,2023,2023-03-09,"Inexpedient to Legislate, Motion Adopted, Voice Vote === BILL KILLED ===; 03/09/2023; Senate Journal 9",0
NH,SB217,Establishing a rural and underserved area educator incentive program for higher education and making an appropriation therefor.,Establishing a rural and underserved area educator incentive program for higher education and making an appropriation therefor.,10,2,2024,2024,2024-05-23,Reconsider Inexpedient to Legislate (Rep. Sweeney): Motion Failed DV 177-185 05/23/2024 House Journal  14 P. 89,0
NJ,A4934,"""Fair Repair Act""; concerns repairs to certain consumer electronics.","""Fair Repair Act""; concerns repairs to certain consumer electronics.",3,0,2016,2017,2017-06-05,"Introduced, Referred to Assembly Consumer Affairs Committee",0
NJ,A4934,Provides Medicaid coverage to eligible pregnant women for six-month period beginning on last day of pregnancy.*,Provides Medicaid coverage to eligible pregnant women for six-month period beginning on last day of pregnancy.*,7,0,2018,2019,2020-01-09,"Reported out of Assembly Comm. with Amendments, 2nd Reading",0
NJ,A1482,"""Fair Repair Act""; concerns repairs to certain consumer electronics.","""Fair Repair Act""; concerns repairs to certain consumer electronics.",11,2,2020,2021,2020-01-14,"Introduced, Referred to Assembly Consumer Affairs Committee",0
NJ,A1482,"""Fair Repair Act""; concerns repairs to certain consumer electronics.","""Fair Repair Act""; concerns repairs to certain consumer electronics.",11,2,2020,2021,2020-01-14,"Introduced, Referred to Assembly Consumer Affairs Committee",0
NJ,A1538,"""Fair Repair Act""; concerns repairs to certain consumer electronics.","""Fair Repair Act""; concerns repairs to certain consumer electronics.",12,3,2022,2023,2022-01-11,"Introduced, Referred to Assembly Consumer Affairs Committee",0
NJ,A1482,Provides State grants for new accounts opened under New Jersey Better Educational Savings Trust (NJBEST) program; provides gross income tax credit for certain contributions to NJBEST accounts.,Provides State grants for new accounts opened under New Jersey Better Educational Savings Trust (NJBEST) program; provides gross income tax credit for certain contributions to NJBEST accounts.,1,0,2022,2023,2022-01-11,"Introduced, Referred to Assembly Higher Education Committee",0
NJ,A1538,"""Fair Repair Act""; concerns repairs to certain consumer electronics.","""Fair Repair Act""; concerns repairs to certain consumer electronics.",12,3,2022,2023,2022-01-11,"Introduced, Referred to Assembly Consumer Affairs Committee",0
NJ,A3612,Concerns right to repair farm equipment and lawn mowers.,Concerns right to repair farm equipment and lawn mowers.,0,1,2022,2023,2022-03-17,"Introduced, Referred to Assembly Agriculture and Food Security Committee",0
NJ,S1723,"""Fair Repair Act""; concerns repairs to certain consumer electronics.","""Fair Repair Act""; concerns repairs to certain consumer electronics.",1,0,2024,2025,2024-01-09,"Introduced in the Senate, Referred to Senate Commerce Committee",0
NJ,S3322,Concerns right to repair farm equipment and lawn mowers.,Concerns right to repair farm equipment and lawn mowers.,0,1,2024,2025,2024-06-03,"Introduced in the Senate, Referred to Senate Commerce Committee",0
NJ,A3809,Concerns right to repair farm equipment and lawn mowers.,Concerns right to repair farm equipment and lawn mowers.,2,1,2024,2025,2024-02-22,"Introduced, Referred to Assembly Consumer Affairs Committee",0
NJ,S1723,"""Fair Repair Act""; concerns repairs to certain consumer electronics.","""Fair Repair Act""; concerns repairs to certain consumer electronics.",1,0,2024,2025,2024-01-09,"Introduced in the Senate, Referred to Senate Commerce Committee",0
NM,SB113,Board & Commission Sunset Dates,Board & Commission Sunset Dates,1,0,2025,2025,2025-04-07,Signed by Governor - Chapter 66 - Apr. 7,1
NV,AB70,Revises provisions governing the Open Meeting Law. (BDR 19-421),AN ACT relating to meetings of public bodies; making various changes relating to meetings of public bodies; providing a penalty; and providing other matters properly relating thereto.,0,0,2019,2019,2019-06-13,Chapter 566.,1
NV,AB221,"Enacts provisions relating to the diagnosis, maintenance and repair of certain digital electronic equipment. (BDR 52-735)","AN ACT relating to trade practices; requiring certain manufacturers of certain digital electronic equipment to make certain documentation, parts and tools available to owners of such equipment and to certain providers of services related to the diagnosis, maintenance and repair of such equipment; prescribing the costs and terms under which such documentation, parts and tools are required to be made available; providing that a violation of provisions relating to the availability of such documentation, parts and tools is a deceptive trade practice; providing certain exemptions; providing penalties; and providing other matters properly relating thereto.",5,0,2021,2021,2021-04-10,"(Pursuant to Joint Standing Rule No. 14.3.1, no further action allowed.)",1
NY,S03998,Requires manufacturers of digital electronic parts to offer for sale diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair channel; section does not apply to motor vehicles.,Requires manufacturers of digital electronic parts to offer for sale diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair channel; section does not apply to motor vehicles.,7,5,2015,2016,2016-06-06,COMMITTEE DISCHARGED AND COMMITTED TO RULES,0
NY,A06068,Requires manufacturers of digital electronic parts to offer for sale diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair channel; section does not apply to motor vehicles.,Requires manufacturers of digital electronic parts to offer for sale diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair channel; section does not apply to motor vehicles.,20,1,2015,2016,2016-03-29,print number 6068a,0
NY,S03998,Requires manufacturers of digital electronic parts to offer for sale diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair channel; section does not apply to motor vehicles.,Requires manufacturers of digital electronic parts to offer for sale diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair channel; section does not apply to motor vehicles.,7,5,2015,2016,2016-06-06,COMMITTEE DISCHARGED AND COMMITTED TO RULES,0
NY,A06068,Requires manufacturers of digital electronic parts to offer for sale diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair channel; section does not apply to motor vehicles.,Requires manufacturers of digital electronic parts to offer for sale diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair channel; section does not apply to motor vehicles.,20,1,2015,2016,2016-03-29,print number 6068a,0
NY,S00618,"Requires manufacturers of digital electronic parts to offer for sale documentation, diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair provider; section does not apply to motor vehicles.","Requires manufacturers of digital electronic parts to offer for sale documentation, diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair provider; section does not apply to motor vehicles.",9,5,2017,2018,2018-01-31,PRINT NUMBER 618C,0
NY,A08192,"Requires manufacturers of digital electronic parts to offer for sale documentation, diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair provider; section does not apply to motor vehicles.","Requires manufacturers of digital electronic parts to offer for sale documentation, diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair provider; section does not apply to motor vehicles.",32,5,2017,2018,2018-01-29,print number 8192a,0
NY,S00618,"Requires manufacturers of digital electronic parts to offer for sale documentation, diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair provider; section does not apply to motor vehicles.","Requires manufacturers of digital electronic parts to offer for sale documentation, diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair provider; section does not apply to motor vehicles.",9,5,2017,2018,2018-01-31,PRINT NUMBER 618C,0
NY,A08192,"Requires manufacturers of digital electronic parts to offer for sale documentation, diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair provider; section does not apply to motor vehicles.","Requires manufacturers of digital electronic parts to offer for sale documentation, diagnostic and repair information in the same manner as such manufacturer provides such diagnostic and repair information to such manufacturer's repair provider; section does not apply to motor vehicles.",32,5,2017,2018,2018-01-29,print number 8192a,0
NY,A07416,Relates to the sale of digital electronic equipment and requires original equipment manufacturers to provide diagnostic and repair information.,Relates to the sale of digital electronic equipment and requires original equipment manufacturers to provide diagnostic and repair information.,31,6,2019,2020,2020-01-08,referred to consumer affairs and protection,0
NY,A06309,Relates to the business income rate and expanding the small business subtraction modification.,Relates to the business income rate and expanding the small business subtraction modification.,17,15,2019,2020,2020-02-26,print number 6309a,0
NY,A07416,Relates to the sale of digital electronic equipment and requires original equipment manufacturers to provide diagnostic and repair information.,Relates to the sale of digital electronic equipment and requires original equipment manufacturers to provide diagnostic and repair information.,31,6,2019,2020,2020-01-08,referred to consumer affairs and protection,0
NY,S04104,Relates to the sale of digital electronic equipment; requires original equipment manufacturers to provide diagnostic and repair information.,Relates to the sale of digital electronic equipment; requires original equipment manufacturers to provide diagnostic and repair information.,15,0,2021,2022,2022-12-28,APPROVAL MEMO.93,1
NY,A07006,Relates to the sale of digital electronic equipment; requires original equipment manufacturers to provide diagnostic and repair information.,Relates to the sale of digital electronic equipment; requires original equipment manufacturers to provide diagnostic and repair information.,51,2,2021,2022,2022-06-03,substituted by s4104a,1
NY,S04104,Relates to the sale of digital electronic equipment; requires original equipment manufacturers to provide diagnostic and repair information.,Relates to the sale of digital electronic equipment; requires original equipment manufacturers to provide diagnostic and repair information.,15,0,2021,2022,2022-12-28,APPROVAL MEMO.93,1
NY,A07006,Relates to the sale of digital electronic equipment; requires original equipment manufacturers to provide diagnostic and repair information.,Relates to the sale of digital electronic equipment; requires original equipment manufacturers to provide diagnostic and repair information.,51,2,2021,2022,2022-06-03,substituted by s4104a,1
NY,S08492,Modifies what qualifies as an original equipment manufacturer and the manufacture date when hardware must comply with the right to repair law; repeals certain limitations on the right to repair law.,Modifies what qualifies as an original equipment manufacturer and the manufacture date when hardware must comply with the right to repair law; repeals certain limitations on the right to repair law.,1,0,2023,2024,2024-02-06,REFERRED TO CONSUMER PROTECTION,0
NY,A08955,Modifies what qualifies as an original equipment manufacturer and the manufacture date when hardware must comply with the right to repair law; repeals certain limitations on the right to repair law.,Modifies what qualifies as an original equipment manufacturer and the manufacture date when hardware must comply with the right to repair law; repeals certain limitations on the right to repair law.,3,0,2023,2024,2024-01-30,referred to consumer affairs and protection,0
NY,S08434,Removes the residency requirement for all public office positions employed by a county; provides that counties shall have the authority to determine residency requirements for each county job on a county by county basis.,Removes the residency requirement for all public office positions employed by a county; provides that counties shall have the authority to determine residency requirements for each county job on a county by county basis.,0,1,2023,2024,2024-01-29,REFERRED TO INVESTIGATIONS AND GOVERNMENT OPERATIONS,0
NY,A08332,"Expands which individuals qualify to be an individual's personal assistant for the purposes of consumer directed personal assistance programs to include an eligible individual's attorney-in-fact, health care proxy, or legal guardian.","Expands which individuals qualify to be an individual's personal assistant for the purposes of consumer directed personal assistance programs to include an eligible individual's attorney-in-fact, health care proxy, or legal guardian.",1,0,2023,2024,2024-01-03,referred to health,0
NY,A03894,Permits dentists to administer influenza and COVID vaccinations and vaccinations related to a declared public health emergency; requires dentists to report such vaccinations.,Permits dentists to administer influenza and COVID vaccinations and vaccinations related to a declared public health emergency; requires dentists to report such vaccinations.,3,0,2025,2026,2025-04-10,print number 3894a,0
NY,A05771,Provides for eligibility of certain participants in the New York City employees retirement system to opt into the twenty-five year retirement program for EMT members.,Provides for eligibility of certain participants in the New York City employees retirement system to opt into the twenty-five year retirement program for EMT members.,1,0,2025,2026,2025-06-16,substituted by s4598,1
NY,A06569,"Enacts the ""consumer wheelchair repair bill of rights act"" requiring manufacturers to make available certain documentation, parts, embedded software, firmware, or tools necessary for repairing equipment; establishes a timely repair for wheelchair program; extends the warranty period for wheelchairs to 2 years; deems all wheelchair repairs needed within 5 years of initial prescription medically necessary.","Enacts the ""consumer wheelchair repair bill of rights act"" requiring manufacturers to make available certain documentation, parts, embedded software, firmware, or tools necessary for repairing equipment; establishes a timely repair for wheelchair program; extends the warranty period for wheelchairs to 2 years; deems all wheelchair repairs needed within 5 years of initial prescription medically necessary.",4,1,2025,2026,2025-06-09,print number 6569a,0
NY,S04500,"Enacts the ""consumer wheelchair repair bill of rights act"" requiring manufacturers to make available certain documentation, parts, embedded software, firmware, or tools necessary for repairing equipment; establishes a timely repair for wheelchair program; extends the warranty period for wheelchairs to 2 years; deems all wheelchair repairs needed within 5 years of initial prescription medically necessary.","Enacts the ""consumer wheelchair repair bill of rights act"" requiring manufacturers to make available certain documentation, parts, embedded software, firmware, or tools necessary for repairing equipment; establishes a timely repair for wheelchair program; extends the warranty period for wheelchairs to 2 years; deems all wheelchair repairs needed within 5 years of initial prescription medically necessary.",4,4,2025,2026,2025-06-12,referred to consumer affairs and protection,0
NY,S04655,Modifies what qualifies as an original equipment manufacturer and the manufacture date when hardware must comply with the right to repair law; repeals certain limitations on the right to repair law.,Modifies what qualifies as an original equipment manufacturer and the manufacture date when hardware must comply with the right to repair law; repeals certain limitations on the right to repair law.,1,0,2025,2026,2025-06-12,referred to consumer affairs and protection,0
OH,SB237,Enacts the Uniform Public Expression Protection Act,"To amend sections 1923.01, 1923.05, 1925.02, and 2505.02 and to enact sections 2747.01, 2747.02, 2747.03, 2747.04, 2747.05, and 2747.06 of the Revised Code to enact the Uniform Public Expression Protection Act relating to legal actions concerning protected speech, to clarify small claims court jurisdiction, and to prohibit landlords from listing a minor as a defendant in a forcible entry and detainer action.",4,11,2023,2024,2025-04-09,Effective ,1
OH,SB237,Enacts the Uniform Public Expression Protection Act,"To amend sections 1923.01, 1923.05, 1925.02, and 2505.02 and to enact sections 2747.01, 2747.02, 2747.03, 2747.04, 2747.05, and 2747.06 of the Revised Code to enact the Uniform Public Expression Protection Act relating to legal actions concerning protected speech, to clarify small claims court jurisdiction, and to prohibit landlords from listing a minor as a defendant in a forcible entry and detainer action.",4,11,2023,2024,2025-04-09,Effective ,1
OK,HB2551,Contracts; creating the Right to Repair Farming Equipment Act; codification; effective date.,Contracts; creating the Right to Repair Farming Equipment Act; codification; effective date.,0,2,2018,2018,2018-02-06,Second Reading referred to Banking and Business,0
OK,SB1876,Health insurance; requiring pharmacy benefit manager to publish certain information. Effective date.,Health insurance; requiring pharmacy benefit manager to publish certain information. Effective date.,0,1,2020,2020,2020-02-10,Second Reading referred to Retirement and Insurance,0
OK,HB1011,Consumer protection; Digital Fair Repair Act; disclosure of information; effective date.,Consumer protection; Digital Fair Repair Act; disclosure of information; effective date.,1,4,2021,2021,2021-02-10,"Coauthored by Representative(s) Pae, Marti",0
OK,HB1011,Consumer protection; Digital Fair Repair Act; disclosure of information; effective date.,Consumer protection; Digital Fair Repair Act; disclosure of information; effective date.,1,4,2022,2022,2021-02-10,"Coauthored by Representative(s) Pae, Marti",0
OK,HB1406,Nonprofit entities; unlawful practices; membership requirements; emergency.,Nonprofit entities; unlawful practices; membership requirements; emergency.,0,1,2023,2023,2023-02-07,Second Reading referred to Judiciary - Civil,0
OK,HB3823,Electronics; creating the Oklahoma Electronics Owner Right to Repair Act; defining terms; requiring electronics information be provided to certain persons; effective date.,Electronics; creating the Oklahoma Electronics Owner Right to Repair Act; defining terms; requiring electronics information be provided to certain persons; effective date.,1,0,2024,2024,2024-02-06,Second Reading referred to General Government,0
OR,HB2688,Relating to a right to repair digital electronic equipment; prescribing an effective date.,"Requires original equipment manufacturer to make available to owner of digital electronic equipment or independent repair provider on fair and reasonable terms any part, tool, service manual or other device, implement or information that original equipment manufacturer makes available to authorized repair provider for purpose of diagnosing, maintaining or repairing digital electronic equipment that original equipment manufacturer makes or supplies. Provides that violation of Act is unlawful trade practice under Unlawful Trade Practices Act. Takes effect on 91st day following adjournment sine die.",17,1,2019,2019,2019-06-30,In committee upon adjournment.,1
OR,HB2688,Relating to the application of a prevailing rate of wage to off-site custom work for use in public works; and prescribing an effective date.,"Makes a certain wage apply to custom work done off-site but for a particular public works project. (Flesch Readability Score: 67.3). Applies the prevailing rate of wage to certain off-site bespoke work fabricated, preconstructed, assembled or constructed in accordance with specifications for a particular public works. Specifies examples of such bespoke work. Takes effect on the 91st day following adjournment sine die.",17,0,2025,2025,2025-08-13,"Chapter 612, (2025 Laws): Effective date September 26, 2025.",1
OR,HB2698,Relating to a right to repair consumer electronic equipment; prescribing an effective date.,"Requires original equipment manufacturer to make available to owner of originated equipment or independent repair provider on fair and reasonable terms any part, tool, documentation or other device or implement that original equipment manufacturer makes available to authorized repair provider for purpose of diagnosing, maintaining or repairing originated equipment. Requires original equipment manufacturer to make available to owner of originated equipment or independent repair provider on fair and reasonable terms any part, tool, documentation or other device or implement that original equipment manufacturer makes available to authorized repair provider for purpose of diagnosing, maintaining or repairing originated equipment. Provides that person who suffers ascertainable loss of money or property has right to bring action to recover damages for violation of provisions of Act. Takes effect on 91st day following adjournment sine die.",14,0,2021,2021,2021-06-26,In committee upon adjournment.,1
OR,SB542,Relating to a right to repair consumer electronic equipment; prescribing an effective date.,"Requires original equipment manufacturer to make available to owner of consumer electronic equipment or independent repair provider on fair and reasonable terms any documentation, tool, part or other device or implement that original equipment manufacturer makes available to authorized service provider for purpose of diagnosing, maintaining or repairing consumer electronic equipment. Requires original equipment manufacturer to make available to owner of consumer electronic equipment or independent repair provider on fair and reasonable terms any documentation, tool, part or other device or implement that original equipment manufacturer makes available to authorized repair] service provider for purpose of diagnosing, maintaining or repairing consumer electronic equipment. Provides that person who suffers ascertainable loss of money or property has right to bring action to recover damages for violation of] seek order requiring compliance with provisions of Act. Takes effect on 91st day following adjournment sine die.",11,0,2023,2023,2023-06-25,In committee upon adjournment.,1
